"fornavn";"år";"Andel av fødte (prosent)"
"Aage";"1880";0.021
"Aage";"1881";0.020
"Aage";"1882";0.017
"Aage";"1883";0.015
"Aage";"1884";0.028
"Aage";"1885";0.025
"Aage";"1886";0.023
"Aage";"1887";0.011
"Aage";"1888";0.051
"Aage";"1889";0.030
"Aage";"1890";0.027
"Aage";"1891";0.033
"Aage";"1892";0.086
"Aage";"1893";0.036
"Aage";"1894";0.083
"Aage";"1895";0.038
"Aage";"1896";0.031
"Aage";"1897";0.042
"Aage";"1898";0.040
"Aage";"1899";0.068
"Aage";"1900";0.075
"Aage";"1901";0.083
"Aage";"1902";0.096
"Aage";"1903";0.125
"Aage";"1904";0.109
"Aage";"1905";0.178
"Aage";"1906";0.166
"Aage";"1907";0.140
"Aage";"1908";0.186
"Aage";"1909";0.239
"Aage";"1910";0.213
"Aage";"1911";0.270
"Aage";"1912";0.307
"Aage";"1913";0.275
"Aage";"1914";0.360
"Aage";"1915";0.405
"Aage";"1916";0.304
"Aage";"1917";0.319
"Aage";"1918";0.364
"Aage";"1919";0.247
"Aage";"1920";0.335
"Aage";"1921";0.299
"Aage";"1922";0.326
"Aage";"1923";0.330
"Aage";"1924";0.259
"Aage";"1925";0.351
"Aage";"1926";0.347
"Aage";"1927";0.324
"Aage";"1928";0.218
"Aage";"1929";0.346
"Aage";"1930";0.206
"Aage";"1931";0.308
"Aage";"1932";0.221
"Aage";"1933";0.191
"Aage";"1934";0.189
"Aage";"1935";0.202
"Aage";"1936";0.297
"Aage";"1937";0.245
"Aage";"1938";0.286
"Aage";"1939";0.221
"Aage";"1940";0.247
"Aage";"1941";0.232
"Aage";"1942";0.176
"Aage";"1943";0.183
"Aage";"1944";0.194
"Aage";"1945";0.229
"Aage";"1946";0.191
"Aage";"1947";0.203
"Aage";"1948";0.216
"Aage";"1949";0.180
"Aage";"1950";0.135
"Aage";"1951";0.154
"Aage";"1952";0.134
"Aage";"1953";0.135
"Aage";"1954";0.132
"Aage";"1955";0.111
"Aage";"1956";0.086
"Aage";"1957";0.110
"Aage";"1958";0.071
"Aage";"1959";0.056
"Aage";"1960";0.064
"Aage";"1961";0.086
"Aage";"1962";0.038
"Aage";"1963";0.043
"Aage";"1964";0.058
"Aage";"1965";0.045
"Aage";"1966";0.022
"Aage";"1967";0.025
"Aage";"1968";0.027
"Aage";"1969";0.029
"Aage";"1970";0.017
"Aage";"1971";0.024
"Aage";"1972";0.015
"Aage";"1973";0.018
"Aage";"1974";0.030
"Aage";"1975";0.018
"Aage";"1976";.
"Aage";"1977";0.011
"Aage";"1978";.
"Aage";"1979";.
"Aage";"1980";.
"Aage";"1981";.
"Aage";"1982";.
"Aage";"1983";0.011
"Aage";"1984";0.013
"Aage";"1985";0.010
"Aage";"1986";0.010
"Aage";"1987";.
"Aage";"1988";.
"Aage";"1989";.
"Aage";"1990";0.012
"Aage";"1991";.
"Aage";"1992";.
"Aage";"1993";.
"Aage";"1994";0.011
"Aage";"1995";.
"Aage";"1996";.
"Aage";"1997";.
"Aage";"1998";.
"Aage";"1999";.
"Aage";"2000";.
"Aage";"2001";.
"Aage";"2002";.
"Aage";"2003";0.012
"Aage";"2004";.
"Aage";"2005";.
"Aage";"2006";.
"Aage";"2007";.
"Aage";"2008";.
"Aage";"2009";.
"Aage";"2010";.
"Aage";"2011";.
"Aage";"2012";.
"Aage";"2013";.
"Aage";"2014";.
"Aage";"2015";.
"Aage";"2016";.
"Aage";"2017";.
"Aage";"2018";.
"Aage";"2019";.
"Aage";"2020";.
"Aaron";"1880";0.000
"Aaron";"1881";0.000
"Aaron";"1882";0.000
"Aaron";"1883";0.000
"Aaron";"1884";0.000
"Aaron";"1885";0.000
"Aaron";"1886";0.000
"Aaron";"1887";0.000
"Aaron";"1888";0.000
"Aaron";"1889";0.000
"Aaron";"1890";0.000
"Aaron";"1891";0.000
"Aaron";"1892";0.000
"Aaron";"1893";0.000
"Aaron";"1894";0.000
"Aaron";"1895";0.000
"Aaron";"1896";0.000
"Aaron";"1897";0.000
"Aaron";"1898";0.000
"Aaron";"1899";0.000
"Aaron";"1900";0.000
"Aaron";"1901";0.000
"Aaron";"1902";0.000
"Aaron";"1903";0.000
"Aaron";"1904";0.000
"Aaron";"1905";0.000
"Aaron";"1906";0.000
"Aaron";"1907";0.000
"Aaron";"1908";0.000
"Aaron";"1909";0.000
"Aaron";"1910";0.000
"Aaron";"1911";0.000
"Aaron";"1912";0.000
"Aaron";"1913";0.000
"Aaron";"1914";0.000
"Aaron";"1915";0.000
"Aaron";"1916";0.000
"Aaron";"1917";0.000
"Aaron";"1918";0.000
"Aaron";"1919";0.000
"Aaron";"1920";0.000
"Aaron";"1921";0.000
"Aaron";"1922";0.000
"Aaron";"1923";0.000
"Aaron";"1924";0.000
"Aaron";"1925";0.000
"Aaron";"1926";0.000
"Aaron";"1927";0.000
"Aaron";"1928";0.000
"Aaron";"1929";0.000
"Aaron";"1930";0.000
"Aaron";"1931";0.000
"Aaron";"1932";0.005
"Aaron";"1933";0.000
"Aaron";"1934";0.000
"Aaron";"1935";0.005
"Aaron";"1936";0.000
"Aaron";"1937";0.000
"Aaron";"1938";0.000
"Aaron";"1939";0.000
"Aaron";"1940";0.000
"Aaron";"1941";0.000
"Aaron";"1942";0.000
"Aaron";"1943";0.000
"Aaron";"1944";0.000
"Aaron";"1945";.
"Aaron";"1946";.
"Aaron";"1947";.
"Aaron";"1948";.
"Aaron";"1949";.
"Aaron";"1950";.
"Aaron";"1951";.
"Aaron";"1952";.
"Aaron";"1953";.
"Aaron";"1954";.
"Aaron";"1955";.
"Aaron";"1956";.
"Aaron";"1957";.
"Aaron";"1958";.
"Aaron";"1959";.
"Aaron";"1960";.
"Aaron";"1961";.
"Aaron";"1962";.
"Aaron";"1963";.
"Aaron";"1964";.
"Aaron";"1965";.
"Aaron";"1966";.
"Aaron";"1967";.
"Aaron";"1968";.
"Aaron";"1969";.
"Aaron";"1970";.
"Aaron";"1971";.
"Aaron";"1972";0.010
"Aaron";"1973";.
"Aaron";"1974";.
"Aaron";"1975";.
"Aaron";"1976";.
"Aaron";"1977";.
"Aaron";"1978";0.011
"Aaron";"1979";.
"Aaron";"1980";0.011
"Aaron";"1981";.
"Aaron";"1982";.
"Aaron";"1983";0.024
"Aaron";"1984";.
"Aaron";"1985";0.013
"Aaron";"1986";0.010
"Aaron";"1987";0.016
"Aaron";"1988";0.010
"Aaron";"1989";.
"Aaron";"1990";0.012
"Aaron";"1991";0.010
"Aaron";"1992";0.013
"Aaron";"1993";0.013
"Aaron";"1994";0.011
"Aaron";"1995";0.019
"Aaron";"1996";0.014
"Aaron";"1997";0.017
"Aaron";"1998";0.017
"Aaron";"1999";0.014
"Aaron";"2000";0.011
"Aaron";"2001";0.021
"Aaron";"2002";0.046
"Aaron";"2003";0.042
"Aaron";"2004";0.021
"Aaron";"2005";0.042
"Aaron";"2006";0.071
"Aaron";"2007";0.080
"Aaron";"2008";0.040
"Aaron";"2009";0.062
"Aaron";"2010";0.058
"Aaron";"2011";0.053
"Aaron";"2012";0.051
"Aaron";"2013";0.062
"Aaron";"2014";0.093
"Aaron";"2015";0.115
"Aaron";"2016";0.078
"Aaron";"2017";0.101
"Aaron";"2018";0.087
"Aaron";"2019";0.106
"Aaron";"2020";0.078
"Aasmund";"1880";0.000
"Aasmund";"1881";0.000
"Aasmund";"1882";0.017
"Aasmund";"1883";0.046
"Aasmund";"1884";0.042
"Aasmund";"1885";0.000
"Aasmund";"1886";0.023
"Aasmund";"1887";0.021
"Aasmund";"1888";0.010
"Aasmund";"1889";0.039
"Aasmund";"1890";0.018
"Aasmund";"1891";0.024
"Aasmund";"1892";0.047
"Aasmund";"1893";0.014
"Aasmund";"1894";0.055
"Aasmund";"1895";0.019
"Aasmund";"1896";0.037
"Aasmund";"1897";0.054
"Aasmund";"1898";0.056
"Aasmund";"1899";0.023
"Aasmund";"1900";0.048
"Aasmund";"1901";0.036
"Aasmund";"1902";0.051
"Aasmund";"1903";0.035
"Aasmund";"1904";0.070
"Aasmund";"1905";0.059
"Aasmund";"1906";0.043
"Aasmund";"1907";0.051
"Aasmund";"1908";0.080
"Aasmund";"1909";0.081
"Aasmund";"1910";0.090
"Aasmund";"1911";0.066
"Aasmund";"1912";0.089
"Aasmund";"1913";0.073
"Aasmund";"1914";0.036
"Aasmund";"1915";0.069
"Aasmund";"1916";0.057
"Aasmund";"1917";0.069
"Aasmund";"1918";0.062
"Aasmund";"1919";0.065
"Aasmund";"1920";0.082
"Aasmund";"1921";0.077
"Aasmund";"1922";0.056
"Aasmund";"1923";0.089
"Aasmund";"1924";0.062
"Aasmund";"1925";0.061
"Aasmund";"1926";0.041
"Aasmund";"1927";0.061
"Aasmund";"1928";0.048
"Aasmund";"1929";0.027
"Aasmund";"1930";0.035
"Aasmund";"1931";0.055
"Aasmund";"1932";0.023
"Aasmund";"1933";0.049
"Aasmund";"1934";0.055
"Aasmund";"1935";0.015
"Aasmund";"1936";0.024
"Aasmund";"1937";0.047
"Aasmund";"1938";0.023
"Aasmund";"1939";0.009
"Aasmund";"1940";0.017
"Aasmund";"1941";0.031
"Aasmund";"1942";0.020
"Aasmund";"1943";0.025
"Aasmund";"1944";0.019
"Aasmund";"1945";.
"Aasmund";"1946";0.011
"Aasmund";"1947";0.023
"Aasmund";"1948";.
"Aasmund";"1949";0.018
"Aasmund";"1950";.
"Aasmund";"1951";0.016
"Aasmund";"1952";.
"Aasmund";"1953";0.018
"Aasmund";"1954";0.018
"Aasmund";"1955";0.018
"Aasmund";"1956";.
"Aasmund";"1957";0.017
"Aasmund";"1958";0.014
"Aasmund";"1959";.
"Aasmund";"1960";0.022
"Aasmund";"1961";.
"Aasmund";"1962";0.014
"Aasmund";"1963";.
"Aasmund";"1964";.
"Aasmund";"1965";.
"Aasmund";"1966";.
"Aasmund";"1967";0.012
"Aasmund";"1968";.
"Aasmund";"1969";.
"Aasmund";"1970";.
"Aasmund";"1971";.
"Aasmund";"1972";0.012
"Aasmund";"1973";.
"Aasmund";"1974";0.015
"Aasmund";"1975";0.018
"Aasmund";"1976";.
"Aasmund";"1977";0.011
"Aasmund";"1978";.
"Aasmund";"1979";0.021
"Aasmund";"1980";0.013
"Aasmund";"1981";0.011
"Aasmund";"1982";.
"Aasmund";"1983";.
"Aasmund";"1984";0.013
"Aasmund";"1985";.
"Aasmund";"1986";.
"Aasmund";"1987";.
"Aasmund";"1988";0.010
"Aasmund";"1989";.
"Aasmund";"1990";0.012
"Aasmund";"1991";.
"Aasmund";"1992";.
"Aasmund";"1993";0.021
"Aasmund";"1994";.
"Aasmund";"1995";0.019
"Aasmund";"1996";0.011
"Aasmund";"1997";0.014
"Aasmund";"1998";.
"Aasmund";"1999";.
"Aasmund";"2000";.
"Aasmund";"2001";.
"Aasmund";"2002";.
"Aasmund";"2003";.
"Aasmund";"2004";.
"Aasmund";"2005";.
"Aasmund";"2006";.
"Aasmund";"2007";.
"Aasmund";"2008";.
"Aasmund";"2009";.
"Aasmund";"2010";0.012
"Aasmund";"2011";.
"Aasmund";"2012";.
"Aasmund";"2013";.
"Aasmund";"2014";.
"Aasmund";"2015";.
"Aasmund";"2016";.
"Aasmund";"2017";0.013
"Aasmund";"2018";.
"Aasmund";"2019";.
"Aasmund";"2020";.
"Abbas";"1880";0.000
"Abbas";"1881";0.000
"Abbas";"1882";0.000
"Abbas";"1883";0.000
"Abbas";"1884";0.000
"Abbas";"1885";0.000
"Abbas";"1886";0.000
"Abbas";"1887";0.000
"Abbas";"1888";0.000
"Abbas";"1889";0.000
"Abbas";"1890";0.000
"Abbas";"1891";0.000
"Abbas";"1892";0.000
"Abbas";"1893";0.000
"Abbas";"1894";0.000
"Abbas";"1895";0.000
"Abbas";"1896";0.000
"Abbas";"1897";0.000
"Abbas";"1898";0.000
"Abbas";"1899";0.000
"Abbas";"1900";0.000
"Abbas";"1901";0.000
"Abbas";"1902";0.000
"Abbas";"1903";0.000
"Abbas";"1904";0.000
"Abbas";"1905";0.000
"Abbas";"1906";0.000
"Abbas";"1907";0.000
"Abbas";"1908";0.000
"Abbas";"1909";0.000
"Abbas";"1910";0.000
"Abbas";"1911";0.000
"Abbas";"1912";0.000
"Abbas";"1913";0.000
"Abbas";"1914";0.000
"Abbas";"1915";0.000
"Abbas";"1916";0.000
"Abbas";"1917";0.000
"Abbas";"1918";0.000
"Abbas";"1919";0.000
"Abbas";"1920";0.000
"Abbas";"1921";0.000
"Abbas";"1922";0.000
"Abbas";"1923";0.000
"Abbas";"1924";0.008
"Abbas";"1925";0.000
"Abbas";"1926";0.000
"Abbas";"1927";0.000
"Abbas";"1928";0.000
"Abbas";"1929";0.000
"Abbas";"1930";0.000
"Abbas";"1931";0.000
"Abbas";"1932";0.005
"Abbas";"1933";0.000
"Abbas";"1934";0.000
"Abbas";"1935";0.000
"Abbas";"1936";0.000
