"fornavn";"år";"Andel av fødte (prosent)"
"Aagot";"1880";0.315
"Aagot";"1881";0.380
"Aagot";"1882";0.346
"Aagot";"1883";0.433
"Aagot";"1884";0.370
"Aagot";"1885";0.525
"Aagot";"1886";0.516
"Aagot";"1887";0.448
"Aagot";"1888";0.522
"Aagot";"1889";0.603
"Aagot";"1890";0.567
"Aagot";"1891";0.538
"Aagot";"1892";0.612
"Aagot";"1893";0.519
"Aagot";"1894";0.617
"Aagot";"1895";0.492
"Aagot";"1896";0.659
"Aagot";"1897";0.579
"Aagot";"1898";0.637
"Aagot";"1899";0.533
"Aagot";"1900";0.613
"Aagot";"1901";0.474
"Aagot";"1902";0.461
"Aagot";"1903";0.497
"Aagot";"1904";0.433
"Aagot";"1905";0.499
"Aagot";"1906";0.459
"Aagot";"1907";0.452
"Aagot";"1908";0.381
"Aagot";"1909";0.399
"Aagot";"1910";0.397
"Aagot";"1911";0.370
"Aagot";"1912";0.307
"Aagot";"1913";0.342
"Aagot";"1914";0.259
"Aagot";"1915";0.299
"Aagot";"1916";0.193
"Aagot";"1917";0.228
"Aagot";"1918";0.243
"Aagot";"1919";0.198
"Aagot";"1920";0.223
"Aagot";"1921";0.174
"Aagot";"1922";0.174
"Aagot";"1923";0.153
"Aagot";"1924";0.121
"Aagot";"1925";0.114
"Aagot";"1926";0.135
"Aagot";"1927";0.103
"Aagot";"1928";0.116
"Aagot";"1929";0.083
"Aagot";"1930";0.055
"Aagot";"1931";0.080
"Aagot";"1932";0.053
"Aagot";"1933";0.057
"Aagot";"1934";0.031
"Aagot";"1935";0.072
"Aagot";"1936";0.046
"Aagot";"1937";0.044
"Aagot";"1938";0.028
"Aagot";"1939";0.037
"Aagot";"1940";0.013
"Aagot";"1941";0.014
"Aagot";"1942";0.017
"Aagot";"1943";0.019
"Aagot";"1944";0.024
"Aagot";"1945";0.036
"Aagot";"1946";0.015
"Aagot";"1947";0.019
"Aagot";"1948";0.016
"Aagot";"1949";.
"Aagot";"1950";.
"Aagot";"1951";.
"Aagot";"1952";0.019
"Aagot";"1953";0.016
"Aagot";"1954";.
"Aagot";"1955";.
"Aagot";"1956";.
"Aagot";"1957";.
"Aagot";"1958";0.012
"Aagot";"1959";.
"Aagot";"1960";.
"Aagot";"1961";.
"Aagot";"1962";.
"Aagot";"1963";0.014
"Aagot";"1964";.
"Aagot";"1965";.
"Aagot";"1966";.
"Aagot";"1967";0.011
"Aagot";"1968";.
"Aagot";"1969";.
"Aagot";"1970";.
"Aagot";"1971";.
"Aagot";"1972";.
